InstitutionId,Institution_Name,City,Country
1,Centre National de la Recherche Scientifique,Paris,France
2,CEA Paris-Saclay - Etablissement de Saclay,Paris,France
4,Centre Max Weber,Lyon,France
7,Centre de Recherches Critiques sur le Droit,Paris,France
11,Electrophysiology and Heart Modeling Institute,Paris,France
13,Georgia Tech-CNRS Laboratory,Paris,France
14,Image and Pervasive Access Laboratory,Paris,France
19,Institut National des Sciences de l'Univers,Paris,France
22,Institut de Chimie,Paris,France
24,Institut de Physique,Paris,France
25,Institut de Recherche sur l'Architecture Antique,Paris,France
26,Institut des Sciences Biologiques,Paris,France
27,Institut des Sciences Humaines et Sociales,Paris,France
28,Institut des Sciences de l'Information et de leurs Interactions,Paris,France
40,Synchrotron soleil,Paris,France
41,Triangle,Paris,France
42,Typologie et Universaux Linguistiques,Paris,France
44,Michigan Sea Grant,Paris,France
45,Michigan Space Grant Consortium,Paris,France
48,Hurley Medical Center,Paris,France
49,Michigan Medicine,Paris,France
50,Chinese Academy of Sciences,Beijing,China
51,Academy of Mathematics and Systems Science,Beijing,China
52,Academy of Opto-Electronics,Beijing,China
53,Aerospace Information Research Institute,Beijing,China
54,Beijing Advanced Sciences and Innovation Center,Beijing,China
55,Beijing Institute of Genomics,Beijing,China
56,Botanical Society of China,Beijing,China
57,Center for Excellence in Brain Science and Intelligence Technology,Beijing,China
58,Center for Excellence in Molecular Cell Science,Beijing,China
59,Center for Excellence in Molecular Plant Sciences,Beijing,China
60,Changchun Institute of Applied Chemistry,Beijing,China
61,"Changchun Institute of Optics, Fine Mechanics and Physics",Beijing,China
62,Chengdu Institute of Biology,Beijing,China
63,Chongqing Institute of Green and Intelligent Technology,Beijing,China
64,Computer Network Information Center,Beijing,China
65,Dalian Institute of Chemical Physics,Beijing,China
66,Fujian Institute of Research on the Structure of Matter,Beijing,China
67,Guangzhou Institute of Energy Conversion,Beijing,China
68,Guangzhou Institute of Geochemistry,Beijing,China
69,Guangzhou Institutes of Biomedicine and Health,Beijing,China
70,Hefei Institutes of Physical Science,Beijing,China
71,Institut Pasteur of Shanghai,Beijing,China
72,Institute for History of Natural Sciences,Beijing,China
73,Institute of Acoustics,Beijing,China
74,Institute of Applied Ecology,Beijing,China
75,Institute of Atmospheric Physics,Beijing,China
76,Institute of Automation,Beijing,China
77,Institute of Biophysics,Beijing,China
78,Institute of Botany,Beijing,China
79,Institute of Chemistry,Beijing,China
80,Institute of Coal Chemistry,Beijing,China
81,Institute of Computing Technology,Beijing,China
82,Institute of Deep-Sea Science and Engineering,Beijing,China
83,Institute of Earth Environment,Beijing,China
84,Institute of Electrical Engineering,Beijing,China
85,Institute of Electronics,Beijing,China
86,Institute of Engineering Thermophysics,Beijing,China
87,Institute of Genetics and Developmental Biology,Beijing,China
88,Institute of Geochemistry,Beijing,China
89,Institute of Geodesy and Geophysics,Beijing,China
90,Institute of Geographic Sciences and Natural Resources Research,Beijing,China
91,Institute of Geology and Geophysics,Beijing,China
92,Institute of High Energy Physics,Beijing,China
93,Institute of Hydrobiology,Beijing,China
94,Institute of Information Engineering,Beijing,China
95,Institute of Mechanics,Beijing,China
96,Institute of Metals Research,Beijing,China
97,Institute of Microbiology,Beijing,China
98,Institute of Microelectronics,Beijing,China
99,Institute of Modern Physics,Beijing,China
100,Institute of Mountain Hazards and Environment,Beijing,China
101,Institute of Oceanology,Beijing,China
102,"Institute of Optics and Electronics, Chinese Academy of Sciences",Beijing,China
103,Institute of Physics,Beijing,China
104,Institute of Process Engineering,Beijing,China
105,"Institute of Psychology, Chinese Academy of Sciences",Beijing,China
106,Institute of Remote Sensing and Digital Earth,Beijing,China
107,Institute of Rock and Soil Mechanics,Beijing,China
108,Institute of Semiconductors,Beijing,China
109,Institute of Software,Beijing,China
110,Institute of Soil Science,Beijing,China
111,Institute of Subtropical Agriculture,Beijing,China
112,Institute of Theoretical Physics,Beijing,China
