work_id,title,publication_year
https://openalex.org/W1775749144,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,1951
https://openalex.org/W2582743722,R: A language and environment for statistical computing.,2014
https://openalex.org/W2100837269,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,1970
https://openalex.org/W2128635872,A Rapid and Sensitive Method for the Quantitation of Microgram Quantities of Protein Utilizing the Principle of Protein-Dye Binding,1976
https://openalex.org/W4293247451,A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,1976
https://openalex.org/W1981368803,Generalized Gradient Approximation Made Simple,1996
https://openalex.org/W2194775991,Deep Residual Learning for Image Recognition,2016
https://openalex.org/W2107277218,Analysis of Relative Gene Expression Data Using Real-Time Quantitative PCR and the 2???????CT Method,2001
https://openalex.org/W2144634347,Molecular Cloning: A Laboratory Manual,2001
https://openalex.org/W1979290264,Using thematic analysis in psychology,2006
https://openalex.org/W2159011576,Diagnostic and Statistical Manual of Mental Disorders,2013
https://openalex.org/W2083222334,Efficient iterative schemes for<i>ab initio</i>total-energy calculations using a plane-wave basis set,1996
https://openalex.org/W2911964244,,2001
https://openalex.org/W2143981217,Density-functional thermochemistry. III. The role of exact exchange,1993
https://openalex.org/W4247665917,Diagnostic and Statistical Manual of Mental Disorders,2013
https://openalex.org/W2023271753,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,1988
https://openalex.org/W2110065044,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995
https://openalex.org/W2055043387,Basic local alignment search tool,1990
https://openalex.org/W2071666535,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,1999
https://openalex.org/W4300870773,Statistical Power Analysis for the Behavioral Sciences,1989
https://openalex.org/W2131350133,A short history of<i>SHELX</i>,2007
https://openalex.org/W2314225431,Molecular cloning: A laboratory manual,1990
https://openalex.org/W1847168837,?€?Mini-mental state?€?,1975
https://openalex.org/W2156098321,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,2009
https://openalex.org/W1527311855,Case Study Research: Design and Methods,1984
https://openalex.org/W2064675550,Long Short-Term Memory,1997
https://openalex.org/W1484864026,Using multivariate statistics,1983
https://openalex.org/W3128646645,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,2021
https://openalex.org/W1970127494,Projector augmented-wave method,1994
https://openalex.org/W1856219842,Standard methods: For the examination of water and waste water,1990
https://openalex.org/W2889646458,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018
https://openalex.org/W1995875735,A Mathematical Theory of Communication,1948
https://openalex.org/W2158714788,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,1997
https://openalex.org/W2099697766,The theory of planned behavior,1991
https://openalex.org/W2164777277,The Measurement of Observer Agreement for Categorical Data,1977
https://openalex.org/W2138270253,DNA sequencing with chain-terminating inhibitors,1977
https://openalex.org/W1979544533,From ultrasoft pseudopotentials to the projector augmented-wave method,1999
https://openalex.org/W1971440513,"The moderator-mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986
https://openalex.org/W2179438025,Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2,2014
https://openalex.org/W2964121744,Adam: A Method for Stochastic Optimization,2014
https://openalex.org/W2163605009,ImageNet Classification with Deep Convolutional Neural Networks,2012
https://openalex.org/W2107031757,Statistical power analysis for the behavioral sciences,1990
https://openalex.org/W2024556021,A Revised Medium for Rapid Growth and Bio Assays with Tobacco Tissue Cultures,1962
https://openalex.org/W2134812217,Single-Step Method of RNA Isolation by Acid Guanidinium Thiocyanate?€?Phenol?€?Chloroform Extraction,1987
https://openalex.org/W1951724000,Fitting Linear Mixed-Effects Models Using<b>lme4</b>,2015
https://openalex.org/W1901129140,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015
https://openalex.org/W2106882534,"CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice",1994
https://openalex.org/W2919115771,Deep learning,2015
https://openalex.org/W2168526937,A SIMPLE METHOD FOR THE ISOLATION AND PURIFICATION OF TOTAL LIPIDES FROM ANIMAL TISSUES,1957
https://openalex.org/W4292811746,"The moderator?€?mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986
https://openalex.org/W2132905138,CRC Handbook of Chemistry and Physics,2014
https://openalex.org/W2752617332,"Theory of the firm: Managerial behavior, agency costs and ownership structure",1976
https://openalex.org/W2007395042,Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set,1996
https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,2004
https://openalex.org/W2106096361,Common method biases in behavioral research: A critical review of the literature and recommended remedies.,2003
https://openalex.org/W2036113194,Special points for Brillouin-zone integrations,1976
https://openalex.org/W4211007335,Fuzzy sets,1965
https://openalex.org/W4297081765,Harvard business review,1994
https://openalex.org/W2097706568,The neighbor-joining method: a new method for reconstructing phylogenetic trees.,1987
https://openalex.org/W2167590372,Revised effective ionic radii and systematic studies of interatomic distances in halides and chalcogenides,1976
https://openalex.org/W2101234009,Scikit-learn: Machine Learning in Python,2012
https://openalex.org/W2117692326,Hallmarks of Cancer: The Next Generation,2011
https://openalex.org/W1522301498,Adam: A Method for Stochastic Optimization,2014
https://openalex.org/W1686810756,Very Deep Convolutional Networks for Large-Scale Image Recognition,2014
https://openalex.org/W2230728100,Self-Consistent Equations Including Exchange and Correlation Effects,1965
https://openalex.org/W2106787323,Global cancer statistics,2011
https://openalex.org/W2298230951,Official Methods of Analysis of,1980
https://openalex.org/W2101108802,Electrophoretic transfer of proteins from polyacrylamide gels to nitrocellulose sheets: procedure and some applications.,1979
https://openalex.org/W2163815564,The Rat Brain in Stereotaxic Coordinates,1982
https://openalex.org/W2167279371,Fiji: an open-source platform for biological-image analysis,2012
https://openalex.org/W2029667189,VMD: Visual molecular dynamics,1996
https://openalex.org/W2108234281,The Sequence Alignment/Map format and SAMtools,2009
https://openalex.org/W2125435699,Measuring inconsistency in meta-analyses,2003
https://openalex.org/W4294215472,Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,2009
https://openalex.org/W2099540110,NIH Image to ImageJ: 25 years of image analysis,2012
https://openalex.org/W1987258130,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981
https://openalex.org/W2114918609,Rapid colorimetric assay for cellular growth and survival: Application to proliferation and cytotoxicity assays,1983
https://openalex.org/W2151103935,Distinctive Image Features from Scale-Invariant Keypoints,2004
https://openalex.org/W1791587663,"Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology",1989
https://openalex.org/W2108598243,ImageNet: A large-scale hierarchical image database,2009
https://openalex.org/W2103441770,Fast and accurate short read alignment with Burrows?€?Wheeler transform,2009
https://openalex.org/W2131271579,Trimmomatic: a flexible trimmer for Illumina sequence data,2014
https://openalex.org/W2112778345,The CES-D Scale,1977
https://openalex.org/W4235678817,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981
https://openalex.org/W2086957099,Density-functional exchange-energy approximation with correct asymptotic behavior,1988
https://openalex.org/W3023540311,"Genetic algorithms in search, optimization, and machine learning",1989
https://openalex.org/W4385245566,Attention Is All You Need,2017
https://openalex.org/W2135943618,Mind in Society: The Development of Higher Psychological Processes,1978
https://openalex.org/W2087484885,"G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences",2007
https://openalex.org/W2329395632,The Discovery of Grounded Theory: Strategies for Qualitative Research.,1968
https://openalex.org/W2912565176,Fuzzy sets,1996
https://openalex.org/W2112796928,Gradient-based learning applied to document recognition,1998
https://openalex.org/W1968834637,Colorimetric Method for Determination of Sugars and Related Substances,1956
https://openalex.org/W3001118548,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020
https://openalex.org/W2030976617,Inhomogeneous Electron Gas,1964
https://openalex.org/W2018289835,"Short-Term Effects of Nose-Only Cigarette Smoke Exposure on Glutathione Redox Homeostasis, Cytochrome P450 1A1/2 and Respiratory Enzyme Activities in Mice Tissues",2013
https://openalex.org/W2152311269,A RAPID METHOD OF TOTAL LIPID EXTRACTION AND PURIFICATION,1959
https://openalex.org/W2157823046,"Bias in meta-analysis detected by a simple, graphical test",1997
https://openalex.org/W2120062331,Handbook of Mathematical Functions,1966
https://openalex.org/W1562208008,Self-Efficacy: The Exercise of Control,1999
https://openalex.org/W2170551349,Fast gapped-read alignment with Bowtie 2,2012
https://openalex.org/W2142635246,A new look at the statistical model identification,1974
https://openalex.org/W1979300931,Nonparametric Estimation from Incomplete Observations,1992
https://openalex.org/W2011039300,Computers and Intractability: A Guide to the Theory of NP-Completeness,1979
https://openalex.org/W2015795623,STATISTICAL METHODS FOR ASSESSING AGREEMENT BETWEEN TWO METHODS OF CLINICAL MEASUREMENT,1986
https://openalex.org/W4294216491,Single-step method of RNA isolation by acid guanidinium thiocyanate-phenol-chloroform extraction,1987
https://openalex.org/W2133665775,Image Quality Assessment: From Error Visibility to Structural Similarity,2004
https://openalex.org/W1556808170,Qualitative Data Analysis: An Expanded Sourcebook,1994
https://openalex.org/W2049633694,Maximum Likelihood from Incomplete Data Via the <i>EM</i> Algorithm,1977
https://openalex.org/W2000445173,A new method of classifying prognostic comorbidity in longitudinal studies: Development and validation,1987
https://openalex.org/W2133766618,Case study research: design and methods,2011
https://openalex.org/W2991792334,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA Statement.,2009
https://openalex.org/W2130410032,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,2005
https://openalex.org/W2168175751,Estimating the Dimension of a Model,1978
https://openalex.org/W2135046866,Regression Shrinkage and Selection Via the Lasso,1996
https://openalex.org/W2152207030,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,2013
https://openalex.org/W2024060531,Optimization by Simulated Annealing,1983
https://openalex.org/W2097117768,Going deeper with convolutions,2015
https://openalex.org/W2009435671,Model Selection and Multimodel Inference: A Practical Information-Theoretic Approach,2003
https://openalex.org/W2132629607,UCSF Chimera?€?A visualization system for exploratory research and analysis,2004
https://openalex.org/W2166281097,The Hospital Anxiety and Depression Scale,1983
https://openalex.org/W2018858346,Helical microtubules of graphitic carbon,1991
https://openalex.org/W2092157292,A consistent and accurate <i>ab initio</i> parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu,2010
https://openalex.org/W2159675211,Cytoscape: A Software Environment for Integrated Models of Biomolecular Interaction Networks,2003
https://openalex.org/W2132926880,MUSCLE: multiple sequence alignment with high accuracy and high throughput,2004
https://openalex.org/W3011865677,Prospect Theory: An Analysis of Decision under Risk,1979
https://openalex.org/W2153635508,LIBSVM,2011
https://openalex.org/W2112090702,Collective dynamics of ?€?small-world?€? networks,1998
https://openalex.org/W2753533763,<i>The Structure of Scientific Revolutions</i>,1963
https://openalex.org/W2169456326,STAR: ultrafast universal RNA-seq aligner,2012
https://openalex.org/W1995945562,An Introduction to the Bootstrap,1994
https://openalex.org/W2116199508,Situated Learning: Legitimate Peripheral Participation.,1994
https://openalex.org/W3214923421,Social Foundations of Thought and Action : A Social Cognitive Theory,1986
https://openalex.org/W2030966943,CONFIDENCE LIMITS ON PHYLOGENIES: AN APPROACH USING THE BOOTSTRAP,1985
https://openalex.org/W2132632499,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods",2011
https://openalex.org/W2126105956,A fast and elitist multiobjective genetic algorithm: NSGA-II,2002
https://openalex.org/W2159306398,Coefficient alpha and the internal structure of tests,1951
https://openalex.org/W2156909104,The Nature of Statistical Learning Theory,1995
https://openalex.org/W2311203695,MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets,2016
https://openalex.org/W2019465613,Fast Parallel Algorithms for Short-Range Molecular Dynamics,1995
https://openalex.org/W2097382368,The CLUSTAL_X windows interface: flexible strategies for multiple sequence alignment aided by quality analysis tools,1997
https://openalex.org/W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021
https://openalex.org/W2133059825,A Threshold Selection Method from Gray-Level Histograms,1979
https://openalex.org/W2561675875,Lecture Notes in Computer Science 1205,1999
https://openalex.org/W1849190772,"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach",2013
https://openalex.org/W1990513740,Diffusion of Innovations,1962
https://openalex.org/W1658908529,Basics of qualitative research : techniques and procedures for developing grounded theory,1998
https://openalex.org/W2099111195,Elements of Information Theory,2001
https://openalex.org/W2152195021,Particle swarm optimization,2002
https://openalex.org/W2037557484,A power primer.,1992
https://openalex.org/W2993383518,A Mathematical Theory of Communication,1948
